pk,id,name,latitude,longitude,speakers_count,father_pk,family_pk,level,child_family_count,child_language_count,child_dialect_count,macroareas,status
2326,kili1268,Kiliwa,30.5471,-115.123,4.0,694.0,145.0,language,0,0,0,North America,nearly extinct
2338,moni1261,Moni,-3.72962,136.886,20000.0,699.0,146.0,language,0,0,1,Papunesia,not endangered
2339,wola1243,Wolani,-3.41642,136.703,5000.0,699.0,146.0,language,0,0,0,Papunesia,not endangered
2341,ekar1243,Ekari,-3.88974,136.018,100000.0,699.0,146.0,language,0,0,4,Papunesia,not endangered
2343,guhu1244,Guhu-Samane,-7.999219999999997,147.22799999999995,13000.0,700.0,146.0,language,0,0,1,Papunesia,not endangered
2345,ngge1241,Nggem,-3.62735,139.011,4400.0,701.0,146.0,language,0,0,0,Papunesia,not endangered
2346,wano1243,Wano,-3.4785800000000004,137.678,1000.0,701.0,146.0,language,0,0,7,Papunesia,shifting
2364,tung1293,Tunggare,-3.37462,135.55100000000002,500.0,739.0,149.0,language,0,0,0,Papunesia,threatened
2365,bura1276,Burate,-2.79301,136.03799999999998,100.0,739.0,149.0,language,0,0,0,Papunesia,shifting
2366,bara1375,Barapasi,-2.28732,137.054,2500.0,743.0,149.0,language,0,0,2,Papunesia,threatened
2370,plai1235,Plains Indian Sign Language,38.3941,-99.2499,75.0,744.0,151.0,language,0,0,0,North America,nearly extinct
2376,inui1247,Inuit Sign Language,63.748611,-68.519722,47.0,746.0,151.0,language,0,0,0,North America,moribund
2380,bank1251,Ban Khor Sign Language,16.910999999999998,103.296,400.0,746.0,151.0,language,0,0,0,Eurasia,shifting
2381,yuca1236,Yucatec Maya Sign Language,20.5,-89.0,417.0,746.0,151.0,language,0,0,0,North America,shifting
2383,urub1243,Urubú-Kaapor Sign Language,-2.54091,-46.4213,500.0,746.0,151.0,language,0,0,0,South America,nearly extinct
2385,ghan1245,Ghandruk Sign Language,28.377,83.807,20.0,746.0,151.0,language,0,0,0,Eurasia,nearly extinct
2386,orig1234,Original Costa Rican Sign Language,9.935135,-84.010539,100.0,746.0,151.0,language,0,0,0,North America,nearly extinct
2387,adam1238,Adamorobe Sign Language,5.834,-0.151,40.0,746.0,151.0,language,0,0,0,Africa,shifting
2390,juml1239,Jumla Sign Language,29.275278000000004,82.18333299999998,8.0,746.0,151.0,language,0,0,0,Eurasia,threatened
2401,alip1234,Alipur Sign Language,16.843564,77.107525,150.0,746.0,151.0,language,0,0,0,Eurasia,shifting
2409,jama1256,Jamaican Country Sign Language,17.9997,-76.9321,40.0,746.0,151.0,language,0,0,0,North America,shifting
2414,yoln1234,Yolngu Sign Language,-12.283333,136.816667,5000.0,746.0,151.0,language,0,0,0,Australia,shifting
2419,tebu1240,Tebul Sign Language,14.499995000000002,-3.499957,500.0,746.0,151.0,language,0,0,0,Africa,shifting
2423,beng1239,Kata Kolok,-8.383,115.098,1240.0,746.0,151.0,language,0,0,0,Papunesia,shifting
2425,alsa1242,Al-Sayyid Bedouin Sign Language,31.284444,34.916111,150.0,746.0,151.0,language,0,0,0,Eurasia,shifting
2428,tanz1238,Tanzanian Sign Language,-6.8243100000000005,39.127,280000.0,748.0,151.0,language,0,0,0,Africa,not endangered
2431,zamb1239,Zambian Sign Language,-15.5134,28.9898,14000.0,748.0,151.0,language,0,0,0,Africa,not endangered
2435,pena1248,Penang Sign Language,5.375,100.254,1000.0,748.0,151.0,language,0,0,0,Eurasia,shifting
2436,malt1238,Maltese Sign Language,35.907,14.4824,200.0,748.0,151.0,language,0,0,0,Eurasia,not endangered
2437,alba1271,Albanian Sign Language,41.328889,19.817778,3000.0,748.0,151.0,language,0,0,0,Eurasia,not endangered
2440,braz1236,Brazilian Sign Language,-15.5,-48.0,200000.0,748.0,151.0,language,0,0,0,South America,not endangered
2444,nica1238,Nicaraguan Sign Language,12.2509,-86.3399,3000.0,748.0,151.0,language,0,0,0,North America,shifting
2449,pers1244,Zaban Eshareh Irani,35.6922,51.0996,325000.0,748.0,151.0,language,0,0,0,Eurasia,not endangered
2453,zimb1247,Zimbabwe Sign Language,-17.9128,31.0216,280000.0,748.0,151.0,language,0,0,7,Africa,not endangered
2461,afgh1239,Afghan Sign Language,34.434166999999995,70.447778,1000.0,748.0,151.0,language,0,0,0,Eurasia,not endangered
2466,esto1238,Estonian Sign Language,58.947,24.566,1500.0,748.0,151.0,language,0,0,0,Eurasia,shifting
2480,daww1239,Dâw,-0.1177,-67.2934,94.0,759.0,157.0,language,0,0,0,South America,shifting
2482,gang1267,Ganggalida,-17.5446,139.42600000000002,1.0,760.0,159.0,language,0,0,2,Australia,extinct
2483,yaul1241,Ulwa (Papua New Guinea),-4.39912,143.993,1200.0,762.0,161.0,language,0,0,2,Papunesia,moribund
2485,amba1269,Ambakich,-4.23181,144.285,770.0,763.0,161.0,language,0,0,2,Papunesia,shifting
2486,apma1241,Ap Ma,-4.35147,144.085,10000.0,763.0,161.0,language,0,0,1,Papunesia,shifting
2496,djau1244,Jawoyn,-14.1361,133.002,16.0,779.0,172.0,language,0,0,0,Australia,nearly extinct
2509,gogo1265,Gogodala,-8.08527,142.874,22000.0,794.0,177.0,language,0,0,0,Papunesia,not endangered
2539,ampa1238,Ampari Dogon,14.15,-3.55,5200.0,801.0,182.0,language,0,0,0,Africa,shifting
2541,buno1241,Bunoge Dogon,14.43,-3.49,1000.0,801.0,182.0,language,0,0,0,Africa,shifting
2542,momb1254,Mombo Dogon,14.376155,-3.664799,19000.0,801.0,182.0,language,0,0,0,Africa,threatened
2543,tira1258,Tiranige Diga Dogon,14.76,-3.7,4200.0,801.0,182.0,language,0,0,0,Africa,shifting
2545,dogu1235,Dogul Dom Dogon,14.5872,-3.56855,16000.0,802.0,182.0,language,0,0,0,Africa,threatened
2549,bank1259,Bankan Tey Dogon,15.06,-2.92,1300.0,804.0,182.0,language,0,0,0,Africa,shifting
2550,nang1261,Nanga,14.49,-3.02,3000.0,804.0,182.0,language,0,0,0,Africa,shifting
2551,bent1238,Ben Tey Dogon,14.78,-2.94,3000.0,804.0,182.0,language,0,0,0,Africa,shifting
2553,jams1239,Jamsay Dogon,14.1794,-2.57999,130000.0,805.0,182.0,language,0,0,5,Africa,not endangered
2554,toro1253,Toro Tegu Dogon,15.0644,-2.22427,2900.0,805.0,182.0,language,0,0,0,Africa,not endangered
2565,worr1237,Worrorra,-15.612781,124.881218,7.0,807.0,185.0,language,0,0,2,Australia,extinct
2568,wuna1249,Wunambal,-14.8347,125.72,9.0,808.0,185.0,language,0,0,0,Australia,moribund
2569,omie1241,Ömie,-9.03136,148.107,800.0,811.0,187.0,language,0,0,3,Papunesia,not endangered
2571,esee1247,Ese,-9.09451,148.376,10000.0,811.0,187.0,language,0,0,14,Papunesia,not endangered
2581,beja1238,Beja,17.2436,36.6666,1000000.0,814.0,188.0,language,0,0,6,Africa,not endangered
2588,nafu1238,Nafusi,33.4398,9.83329,140000.0,817.0,188.0,language,0,0,4,Africa,moribund
2589,awji1241,Awjilah,29.2341,21.1819,3000.0,817.0,188.0,language,0,0,0,Africa,shifting
2594,ghad1239,Ghadames,30.1168,10.0165,13100.0,817.0,188.0,language,0,0,2,Africa,shifting
2596,mora1239,Moraid,-1.04083,131.965,1000.0,821.0,190.0,language,0,0,0,Papunesia,threatened
2597,kala1256,Kalabra,-1.43074,131.61700000000002,3300.0,821.0,190.0,language,0,0,0,Papunesia,not endangered
2598,tehi1237,Tehit,-1.51049,131.985,10000.0,821.0,190.0,language,0,0,7,Papunesia,threatened
2599,sege1235,Seget,-1.36931,131.218,1200.0,822.0,190.0,language,0,0,0,Papunesia,threatened
2600,moii1235,Moi (Indonesia),-0.96532,131.52,4600.0,822.0,190.0,language,0,0,2,Papunesia,threatened
2606,nupo1240,Nüpode Huitoto,-2.34495,-70.9559,100.0,826.0,194.0,language,0,0,0,South America,moribund
2607,nonu1241,Nonuya,-1.25,-72.5,2.0,827.0,194.0,language,0,0,0,South America,extinct
2608,ocai1244,Ocaina,-2.1590000000000003,-72.1422,190.0,827.0,194.0,language,0,0,2,South America,nearly extinct
2609,taik1255,Taikat,-2.9408,140.7495,500.0,828.0,196.0,language,0,0,0,Papunesia,shifting
2610,awyi1241,Awyi,-3.00564,140.60399999999998,350.0,828.0,196.0,language,0,0,0,Papunesia,shifting
2612,ning1275,Ningera,-2.77145,141.454,150.0,829.0,196.0,language,0,0,0,Papunesia,shifting
