district_name,zipcode,longitude,latitude,Total_School_Per_Pupil_Expenditures,Total_Expenditures_Per_School,Local_Percentage,Federal_Percentage,State_Percentage
Van Buren County,38585,-85.41146,35.69653,11711.83,11711.83,20.28,11.83,67.9
Warren County,37110,-85.787,35.687286,9377.83,9377.83,30.53,12.19,57.28
Washington County,37659,-82.49704,36.293805,8705.16,8705.16,43.91,8.7,47.39
Johnson City,37605,-82.383792,36.315795,10136.04,10136.04,54.6,7.56,37.84
Wayne County,38485,-87.75739,35.343716,10070.78,10070.78,14.62,14.38,71.0
Weakley County,38225,-88.6869,36.305305,9157.49,9157.49,23.85,13.13,63.01
White County,38583,-85.45113,35.943026,8995.1,8995.1,19.44,14.5,66.06
Williamson County,37064,-86.89919,35.893823,9736.67,9736.67,69.25,2.82,27.93
Wilson County,37087,-86.29271,36.240331,8348.47,8348.47,64.8,3.44,31.76
Lebanon,37087,-86.29271,36.240331,9038.52,9038.52,67.7,4.51,27.79
